"","colour_subject","rt","stimulus","keypress","word","color","block","blocknum","wordtype","trialtype","trialindex","timeelapsed","internalnodeid","keypressed","participantresponse","correctresponse"
"7479","Subject84","366","stupid","67","stupid","colorred","test","num2","typenegative","singlestim","69","245676","101030","edc","paicipantresponsered","correct"
"7480","Subject85","1","success","1","success","colorred","test","num2","typepositive","singlestim","69","230559","101030","ed","incorrect","814"
"7481","Subject86","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","258066","101030","edc","paicipantresponsered","correct","771"
"7482","Subject87","530","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","203790","101030","edc","paicipantresponsered","correct"
"7483","Subject88","465","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","69","259681","101030","edm","paicipantresponseblue","correct"
"7484","Subject89","662","stupid","67","stupid","colorred","test","num2","typenegative","singlestim","69","228040","101030","edc","paicipantresponsered","correct"
"7485","Subject90","67","dead","colorred","test","num2","typesuicide","singlestim","69","242911","101030","edc","paicipantresponsered","correct","557","success"
"7486","Subject91","405","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","212787","101030","edc","paicipantresponsered","correct"
"7487","Subject92","299","success","77","success","colorblue","test","num2","typepositive","singlestim","69","256558","101030","edm","paicipantresponseblue","correct"
"7488","Subject93","379","success","67","success","colorred","test","num2","typepositive","singlestim","69","198673","101030","edc","paicipantresponsered","correct"
"7489","Subject94","347","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","69","208747","101030","edc","paicipantresponsered","correct"
"7490","Subject95","960","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","218137","101030","edm","paicipantresponseblue","correct"
"7491","Subject96","630","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","234745","101030","edc","paicipantresponsered","correct"
"7492","Subject97","434","success","77","success","colorblue","test","num2","typepositive","singlestim","69","219752","101030","edm","paicipantresponseblue","correct"
"7493","Subject98","647","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","69","202483","101030","edm","paicipantresponseblue","correct"
"7494","Subject99","295","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","69","220687","101030","edc","paicipantresponsered","correct"
"7495","Subject100","429","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","233416","101030","edm","paicipantresponseblue","correct"
"7496","Subject101","585","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","228483","101030","edm","paicipantresponseblue","correct"
"7497","Subject102","438","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","414957","101030","edc","paicipantresponsered","correct"
"7498","Subject103","384","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","69","296272","101030","edm","paicipantresponseblue","correct"
"7499","Subject104","520","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","1199407","101030","edm","paicipantresponseblue","correct"
"7500","Subject105","688","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","219444","101030","edc","paicipantresponsered","correct"
"7501","Subject106","347","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","259291","101030","edm","paicipantresponseblue","correct"
"7502","Subject107","489","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","280808","101030","edm","paicipantresponseblue","correct"
"7503","Subject108","334","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","69","246175","101030","edm","paicipantresponseblue","correct"
"7504","Subject109","dead","colorred","test","num2","typesuicide","singlestim","69","230223","101030","edc","paicipantresponsered","correct","563","rejected","77"
"7505","Subject110","413","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","209394","101030","edc","paicipantresponsered","correct"
"7506","Subject111","466","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","256565","101030","edc","paicipantresponsered","correct"
"7507","Subject112","491","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","228966","101030","edc","paicipantresponsered","correct"
"7508","Subject113","589","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","208806","101030","edc","paicipantresponsered","correct"
"7509","Subject114","395","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","261838","101030","edm","paicipantresponseblue","correct"
"7510","Subject115","561","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","230546","101030","edm","paicipantresponseblue","correct"
"7511","Subject116","744","paper","67","paper","colorred","test","num2","typeneutral","singlestim","69","248686","101030","edc","paicipantresponsered","correct"
"7512","Subject117","392","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","269916","101030","edc","paicipantresponsered","correct"
"7513","Subject118","418","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","246089","101030","edc","paicipantresponsered","correct"
"7514","Subject119","362","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","218906","101030","edm","paicipantresponseblue","correct"
"7515","Subject120","740","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","632968","101030","edm","paicipantresponseblue","correct"
"7516","Subject121","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","212506","101030","edm","paicipantresponseblue","correct","475"
"7517","Subject123","587","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","214257","101030","edc","paicipantresponsered","correct"
"7518","Subject124","580","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","258686","101030","edc","paicipantresponsered","correct"
"7519","Subject125","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","216574","101030","edm","paicipantresponseblue","correct","413"
"7520","Subject126","425","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","240707","101030","edm","paicipantresponseblue","correct"
"7521","Subject127","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","224185","101030","edc","paicipantresponsered","correct","630"
"7522","Subject128","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","69","448113","101030","edc","paicipantresponsered","correct","1480"
"7523","Subject129","508","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","211644","101030","edm","paicipantresponseblue","correct"
"7524","Subject130","515","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","221454","101030","edc","paicipantresponsered","correct"
"7525","Subject131","334","suicide","67","suicide","colorred","test","num2","typesuicide","singlestim","69","255538","101030","edc","paicipantresponsered","correct"
"7526","Subject132","442","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","208864","101030","edc","paicipantresponsered","correct"
"7527","Subject133","637","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","226356","101030","edc","paicipantresponsered","correct"
"7528","Subject134","833","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","213032","101030","edc","paicipantresponsered","correct"
"7529","Subject135","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","229817","101030","edc","paicipantresponsered","correct","975"
"7530","Subject137","429","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","221988","101030","edc","paicipantresponsered","correct"
"7531","Subject138","616","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","69","260504","101030","edm","paicipantresponseblue","correct"
"7532","Subject139","364","success","67","success","colorred","test","num2","typepositive","singlestim","69","216950","101030","edc","paicipantresponsered","correct"
"7533","Subject140","529","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","214388","101030","edc","paicipantresponsered","correct"
"7534","Subject141","642","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","258530","101030","edc","paicipantresponsered","correct"
"7535","Subject142","524","paper","67","paper","colorred","test","num2","typeneutral","singlestim","69","264244","101030","edc","paicipantresponsered","correct"
"7536","Subject143","397","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","229635","101030","edc","paicipantresponsered","correct"
"7537","Subject144","474","rejected","67","rejected","colorblue","test","num2","typenegative","singlestim","69","268662","101030","edc","paicipantresponsered","incorrect"
"7538","Subject145","384","suicide","67","suicide","colorred","test","num2","typesuicide","singlestim","69","230821","101030","edc","paicipantresponsered","correct"
"7539","Subject146","539","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","266334","101030","edc","paicipantresponsered","correct"
"7540","Subject147","554","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","224353","101030","edm","paicipantresponseblue","correct"
"7541","Subject148","420","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","226221","101030","edc","paicipantresponsered","correct"
"7542","Subject149","403","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","203419","101030","edm","paicipantresponseblue","correct"
"7543","Subject150","67","museum","colorred","test","num2","typeneutral","singlestim","69","229435","101030","edc","paicipantresponsered","correct","574","happy"
"7544","Subject151","442","stupid","67","stupid","colorred","test","num2","typenegative","singlestim","69","199648","101030","edc","paicipantresponsered","correct"
"7545","Subject152","580","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","225109","101030","edm","paicipantresponseblue","correct"
"7546","Subject154","457","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","597573","101030","edm","paicipantresponseblue","correct"
"7547","Subject155","paper","67","paper","colorred","test","num2","typeneutral","singlestim","69","209792","101030","edc","paicipantresponsered","correct","539"
"7548","Subject156","432","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","317168","101030","edc","paicipantresponsered","correct"
"7549","Subject157","singlestim","69","236765","101030","edc","paicipantresponsered","correct","1628","rejected","67","rejected","colorred","test","num2","typenegative"
"7550","Subject158","1028","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","218323","101030","edc","paicipantresponsered","correct"
"7551","Subject159","623","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","222300","101030","edc","paicipantresponsered","correct"
"7552","Subject181","1498","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","69","296311","101030","edm","paicipantresponseblue","correct"
"7553","Subject182","559","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","232760","101030","edm","paicipantresponseblue","correct"
"7554","Subject183","436","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","234824","101030","edm","paicipantresponseblue","correct"
"7555","Subject184","573","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","69","223957","101030","edm","paicipantresponseblue","correct"
"7556","Subject185","327","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","303390","101030","edc","paicipantresponsered","correct"
"7557","Subject186","444","paper","67","paper","colorred","test","num2","typeneutral","singlestim","69","256228","101030","edc","paicipantresponsered","correct"
"7558","Subject187","suicide","colorblue","test","num1","typesuicide","singlestim","69","252715","1000330","edm","paicipantresponseblue","correct","652","rejected","77"
"7559","Subject188","77","rejected","colorblue","test","num2","typenegative","singlestim","69","240177","101030","edm","paicipantresponseblue","correct","953","dead"
"7560","Subject189","608","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","260753","101030","edc","paicipantresponsered","correct"
"7561","Subject190","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","219570","101030","edm","paicipantresponseblue","correct","288","happy"
"7562","Subject191","465","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","245738","101030","edc","paicipantresponsered","correct"
"7563","Subject192","499","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","367199","101030","edc","paicipantresponsered","correct"
"7564","Subject193","511","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","69","217062","101030","edc","paicipantresponsered","correct"
"7565","Subject194","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","215541","101030","edm","paicipantresponseblue","correct","1882"
"7566","Subject196","413","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","245373","101030","edm","paicipantresponseblue","correct"
"7567","Subject197","447","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","69","216233","101030","edm","paicipantresponseblue","correct"
"7568","Subject198","364","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","297528","101030","edc","paicipantresponsered","correct"
"7569","Subject199","colorblue","test","num2","typeneutral","singlestim","69","292630","101030","edm","paicipantresponseblue","correct","512","funeral","67","funeral"
"7570","Subject200","454","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","69","230871","101030","edm","paicipantresponseblue","correct"
"7571","Subject201","421","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","543743","101030","edc","paicipantresponsered","correct"
"7572","Subject202","399","success","67","success","colorred","test","num2","typepositive","singlestim","69","628556","101030","edc","paicipantresponsered","correct"
"7573","Subject203","348","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","247370","101030","edm","paicipantresponseblue","correct"
"7574","Subject204","394","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","203219","101030","edm","paicipantresponseblue","correct"
"7575","Subject205","456","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","263907","101030","edc","paicipantresponsered","correct"
"7576","Subject206","609","happy","67","happy","colorred","test","num2","typepositive","singlestim","69","234319","101030","edc","paicipantresponsered","correct"
"7577","Subject207","543","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","242357","101030","edm","paicipantresponseblue","correct"
"7578","Subject208","450","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","243516","101030","edc","paicipantresponsered","correct"
"7579","Subject209","482","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","200892","101030","edc","paicipantresponsered","correct"
"7580","Subject210","417","success","77","success","colorblue","test","num2","typepositive","singlestim","69","231787","101030","edm","paicipantresponseblue","correct"
"7581","Subject212","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","69","220821","101030","edm","paicipantresponseblue","correct","494"
"7582","Subject213","441","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","69","243288","101030","edm","paicipantresponseblue","correct"
"7583","Subject214","434","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","209278","101030","edm","paicipantresponseblue","correct"
"7584","Subject215","408","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","216089","101030","edc","paicipantresponsered","correct"
"7585","Subject216","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","214099","101030","edc","paicipantresponsered","correct","443"
"7586","Subject217","357","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","227081","101030","edm","paicipantresponseblue","correct"
"7587","Subject219","384","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","205857","101030","edm","paicipantresponseblue","correct"
"7588","Subject220","success","77","success","colorblue","test","num2","typepositive","singlestim","69","249623","101030","edm","paicipantresponseblue","correct","933"
"7589","Subject221","436","suicide","67","suicide","colorred","test","num2","typesuicide","singlestim","69","223874","101030","edc","paicipantresponsered","correct"
"7590","Subject222","346","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","225117","101030","edm","paicipantresponseblue","correct"
"7591","Subject223","454","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","69","250923","101030","edm","paicipantresponseblue","correct"
"7592","Subject224","374","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","69","221456","101030","edm","paicipantresponseblue","correct"
"7593","Subject225","393","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","258154","101030","edm","paicipantresponseblue","correct"
"7594","Subject226","498","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","235622","101030","edm","paicipantresponseblue","correct"
"7595","Subject227","458","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","220381","101030","edm","paicipantresponseblue","correct"
"7596","Subject228","541","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","251273","101030","edc","paicipantresponsered","correct"
"7597","Subject229","463","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","250112","101030","edc","paicipantresponsered","correct"
"7598","Subject230","360","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","232192","101030","edc","paicipantresponsered","correct"
"7599","Subject231","318","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","69","229803","101030","edm","paicipantresponseblue","correct"
"7600","Subject232","460","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","235051","101030","edm","paicipantresponseblue","correct"
"7601","Subject233","562","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","222357","101030","edc","paicipantresponsered","correct"
"7602","Subject234","505","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","260770","101030","edm","paicipantresponseblue","correct"
"7603","Subject236","722","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","249430","101030","edm","paicipantresponseblue","correct"
"7604","Subject237","350","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","222402","101030","edc","paicipantresponsered","correct"
"7605","Subject238","436","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","217555","101030","edm","paicipantresponseblue","correct"
"7606","Subject239","480","suicide","67","suicide","colorred","test","num2","typesuicide","singlestim","69","260330","101030","edc","paicipantresponsered","correct"
"7607","Subject240","405","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","295554","101030","edc","paicipantresponsered","correct"
"7608","Subject241","801","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","255567","101030","edm","paicipantresponseblue","correct"
"7609","Subject242","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","235896","101030","edm","paicipantresponseblue","correct","427"
"7610","Subject243","success","77","success","colorblue","test","num2","typepositive","singlestim","69","563961","101030","edm","paicipantresponseblue","correct","412"
"7611","Subject244","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","241201","101030","edc","paicipantresponsered","correct","633"
"7612","Subject245","371","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","223424","101030","edc","paicipantresponsered","correct"
"7613","Subject246","happy","67","happy","colorred","test","num2","typepositive","singlestim","69","226477","101030","edc","paicipantresponsered","correct","418"
"7614","Subject247","happy","colorred","test","num1","typepositive","singlestim","69","323510","1000330","edc","paicipantresponsered","correct","372","alone","77"
"7615","Subject248","352","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","69","211191","101030","edm","paicipantresponseblue","correct"
"7616","Subject249","351","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","200265","101030","edc","paicipantresponsered","correct"
"7617","Subject250","412","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","69","282703","101030","edc","paicipantresponsered","correct"
"7618","Subject251","514","dead","67","dead","colorred","test","num2","typesuicide","singlestim","69","205220","101030","edc","paicipantresponsered","correct"
"7619","Subject252","1031","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","234021","101030","edm","paicipantresponseblue","correct"
"7620","Subject253","395","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","236125","101030","edm","paicipantresponseblue","correct"
"7621","Subject254","354","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","339547","101030","edc","paicipantresponsered","correct"
"7622","Subject255","1662","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","269704","101030","edm","paicipantresponseblue","correct"
"7623","Subject256","577","happy","67","happy","colorred","test","num2","typepositive","singlestim","69","262921","101030","edc","paicipantresponsered","correct"
"7624","Subject257","479","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","268404","101030","edm","paicipantresponseblue","correct"
"7625","Subject258","67","happy","colorred","test","num2","typepositive","singlestim","69","229469","101030","edc","paicipantresponsered","correct","787","alone"
"7626","Subject259","708","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","205929","101030","edm","paicipantresponseblue","correct"
"7627","Subject260","618","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","209173","101030","edc","paicipantresponsered","correct"
"7628","Subject261","494","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","69","224176","101030","edm","paicipantresponseblue","correct"
"7629","Subject262","508","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","69","252490","101030","edc","paicipantresponsered","correct"
"7630","Subject263","447","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","230675","101030","edm","paicipantresponseblue","correct"
"7631","Subject264","444","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","202088","101030","edm","paicipantresponseblue","correct"
"7632","Subject265","pleasure","colorred","test","num2","typepositive","singlestim","69","450057","101030","edc","paicipantresponsered","correct","706","pleasure","77"
"7633","Subject266","338","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","69","196686","101030","edm","paicipantresponseblue","correct"
"7634","Subject267","286","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","211219","101030","edm","paicipantresponseblue","correct"
"7635","Subject268","491","success","67","success","colorred","test","num2","typepositive","singlestim","69","289662","101030","edc","paicipantresponsered","correct"
"7636","Subject269","420","museum","67","museum","colorred","test","num2","typeneutral","singlestim","69","237203","101030","edc","paicipantresponsered","correct"
"7637","Subject270","378","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","306013","101030","edc","paicipantresponsered","correct"
"7638","Subject271","407","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","232950","101030","edm","paicipantresponseblue","correct"
"7639","Subject272","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","69","222563","101030","edm","paicipantresponseblue","correct","553"
"7640","Subject273","99","funeral","39","funeral","colorred","test","num2","typesuicide","singlestim","69","213274","101030","ed","incorrect","459"
"7641","Subject274","67","engine","colorred","test","num2","typeneutral","singlestim","71","2891509","101050","edc","paicipantresponsered","correct","574","success"
"7642","Subject276","532","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","198240","101030","edc","paicipantresponsered","correct"
"7643","Subject277","916","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","238251","101030","edc","paicipantresponsered","correct"
"7644","Subject278","594","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","6756564","101030","edc","paicipantresponsered","correct"
"7645","Subject279","624","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","236272","101030","edc","paicipantresponsered","correct"
"7646","Subject280","392","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","223867","101030","edm","paicipantresponseblue","correct"
"7647","Subject281","singlestim","69","279619","101030","edm","paicipantresponseblue","correct","562","engine","67","engine","colorred","test","num2","typeneutral"
"7648","Subject283","308","success","67","success","colorred","test","num2","typepositive","singlestim","69","219933","101030","edc","paicipantresponsered","correct"
"7649","Subject284","494","happy","67","happy","colorred","test","num2","typepositive","singlestim","69","229000","101030","edc","paicipantresponsered","correct"
"7650","Subject285","success","67","success","colorred","test","num2","typepositive","singlestim","69","225564","101030","edc","paicipantresponsered","correct","326"
"7651","Subject286","573","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","217014","101030","edm","paicipantresponseblue","correct"
"7652","Subject287","402","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","222379","101030","edm","paicipantresponseblue","correct"
"7653","Subject288","522","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","229169","101030","edm","paicipantresponseblue","correct"
"7654","Subject289","454","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","223808","101030","edm","paicipantresponseblue","correct"
"7655","Subject290","426","success","67","success","colorred","test","num2","typepositive","singlestim","69","286883","101030","edc","paicipantresponsered","correct"
"7656","Subject291","370","paper","67","paper","colorred","test","num2","typeneutral","singlestim","69","212110","101030","edc","paicipantresponsered","correct"
"7657","Subject292","415","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","237822","101030","edc","paicipantresponsered","correct"
"7658","Subject293","573","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","69","239136","101030","edm","paicipantresponseblue","correct"
"7659","Subject294","511","rejected","67","rejected","colorred","test","num2","typenegative","singlestim","69","212009","101030","edc","paicipantresponsered","correct"
"7660","Subject295","501","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","240659","101030","edm","paicipantresponseblue","correct"
"7661","Subject296","632","museum","77","museum","colorblue","test","num2","typeneutral","singlestim","69","233265","101030","edm","paicipantresponseblue","correct"
"7662","Subject297","578","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","241096","101030","edm","paicipantresponseblue","correct"
"7663","Subject298","495","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","206185","101030","edm","paicipantresponseblue","correct"
"7664","Subject299","461","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","220764","101030","edm","paicipantresponseblue","correct"
"7665","Subject300","393","happy","67","happy","colorred","test","num2","typepositive","singlestim","69","203988","101030","edc","paicipantresponsered","correct"
"7666","Subject301","443","suicide","77","suicide","colorblue","test","num2","typesuicide","singlestim","69","214442","101030","edm","paicipantresponseblue","correct"
"7667","Subject302","602","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","69","210356","101030","edm","paicipantresponseblue","correct"
"7668","Subject303","598","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","69","229606","101030","edm","paicipantresponseblue","correct"
"7669","Subject304","402","alone","77","alone","colorblue","test","num2","typenegative","singlestim","69","262084","101030","edm","paicipantresponseblue","correct"
"7670","Subject305","558","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","214252","101030","edm","paicipantresponseblue","correct"
"7671","Subject306","funeral","colorblue","test","num2","typesuicide","singlestim","69","330645","101030","edm","paicipantresponseblue","correct","1667","museum","67"
"7672","Subject307","460","suicide","67","suicide","colorred","test","num2","typesuicide","singlestim","69","239632","101030","edc","paicipantresponsered","correct"
"7673","Subject308","377","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","228565","101030","edm","paicipantresponseblue","correct"
"7674","Subject309","stupid","1","stupid","colorred","test","num2","typenegative","singlestim","69","251308","101030","ed","incorrect","1586","engine"
"7675","Subject310","436","rejected","77","rejected","colorblue","test","num2","typenegative","singlestim","69","303760","101030","edm","paicipantresponseblue","correct"
"7676","Subject311","394","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","207670","101030","edm","paicipantresponseblue","correct"
"7677","Subject312","529","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","292791","101030","edm","paicipantresponseblue","correct"
"7678","Subject313","funeral","77","funeral","colorblue","test","num2","typesuicide","singlestim","69","251602","101030","edm","paicipantresponseblue","correct","417"
"7679","Subject314","408","stupid","67","stupid","colorred","test","num2","typenegative","singlestim","69","222316","101030","edc","paicipantresponsered","correct"
"7680","Subject316","colorblue","test","num2","typeneutral","singlestim","69","256629","101030","edm","paicipantresponseblue","correct","761","paper","77","paper"
"7681","Subject317","481","alone","67","alone","colorred","test","num2","typenegative","singlestim","69","268094","101030","edc","paicipantresponsered","correct"
"7682","Subject318","580","happy","77","happy","colorblue","test","num2","typepositive","singlestim","69","402639","101030","edm","paicipantresponseblue","correct"
"7683","Subject319","643","paper","77","paper","colorblue","test","num2","typeneutral","singlestim","69","278784","101030","edm","paicipantresponseblue","correct"
"7684","Subject320","235657","101030","ed","incorrect","748","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","71","241620"
"7685","Subject322","364","pleasure","77","pleasure","colorred","test","num2","typepositive","singlestim","69","240976","101030","edm","paicipantresponseblue","incorrect"
"7686","Subject323","640","pleasure","77","pleasure","colorblue","test","num2","typepositive","singlestim","69","237708","101030","edm","paicipantresponseblue","correct"
"7687","Subject324","450","funeral","67","funeral","colorred","test","num2","typesuicide","singlestim","69","254750","101030","edc","paicipantresponsered","correct"
"7688","Subject325","400","engine","67","engine","colorred","test","num2","typeneutral","singlestim","69","230824","101030","edc","paicipantresponsered","correct"
"7689","Subject326","924","dead","77","dead","colorblue","test","num2","typesuicide","singlestim","69","264574","101030","edm","paicipantresponseblue","correct"
"7690","Subject327","523","engine","77","engine","colorblue","test","num2","typeneutral","singlestim","69","246454","101030","edm","paicipantresponseblue","correct"
"7691","Subject328","469","stupid","67","stupid","colorred","test","num2","typenegative","singlestim","69","302114","101030","edc","paicipantresponsered","correct"
"7692","Subject329","alone","1","alone","colorred","test","num2","typenegative","singlestim","69","225696","101030","ed","incorrect","1329","paper"
"7693","Subject330","410","stupid","77","stupid","colorblue","test","num2","typenegative","singlestim","69","313911","101030","edm","paicipantresponseblue","correct"
"7694","Subject331","396","pleasure","67","pleasure","colorred","test","num2","typepositive","singlestim","69","224022","101030","edc","paicipantresponsered","correct"
