esid,metaid,nosleep.findings,finding,year,first.author,sampletype,country,population,study.design,follow.up.yr,study.descript,totaln,time2.n,age.m,percentfemale,comparison,data.loc,sleepSTB.compareONLY,grp.notes,basicSTB,STBconstruct,STB.measure,STBmethod,STBdichot,sleepconstruct,addtinsom.sleep,basicsleepcon,sleep.measure,sleepmethod,sleepdichot,covar.adjusted,suicgrp.tot.n,suicgrp.m,suicgrp.sd,suicgrp.percent,suicgrp.corr,suicgrp.tau,suicgrp.StdBeta,sucigrp.b,suicgrp.SE,suicgrp.R2,suicgrp.HazR,scuigrp.RiskR,suicgrp.OR,suicgrp.CI.low,suicgrp.CI.high,suicgrp.tstat,scuigrp.X2,case.n,case.m,case.sd,case.percent,case.corr,case.StdBeta,case.OR,case.HazRatio,case.CI.low,case.CI.high,case.X2,case.tstat,ctrl.n,ctrl.m,ctrl.sd,ctrl.percent,ctrl.corr,ctrl.StdBeta,ctrl.OR,ctrl.CI.low,ctrl.CI.high,ctrl.tstat,ctrl.X2,othergrp.n,othergrp.m,othergrp.sd,othergrp.percent,othergrp.corr,othergrp.StdB,othergrp.OR,othergrp.CI.low,othergrp.CI.high,othergrp.tstat,othergrp.X2,othergrp2.n,othergrp2.m,othergrp2.sd,othergrp2.percent,othergrp2.corr,othergrp2.StdBeta,othergrp2.OR,othergrp2.CI.low,othergrp2.CI.high,othergrp2.tstat,othergrp2.X2,othergrp3.n,othergrp3.m,othergrp3.sd,othergrp3.percent,othergrp3.corr,othergrp3.StdBeta,othergrp3.OR,othergrp3.CI.low,othergrp3.CI.high,othergrp3.tstat,othergrp3.X2
335,45,14,13,2017,Dolsen,Clinical,USA,Adult,Prospective,2 nights,Low suicidal grp=includes passive SI so not included in this doc,84,NA,26.6,53.57,SuicgrpvsPassiveSI,SuicGrpOthergrp,yes,SuicGrp: Active SI; Other grp: Passive SI,SI,SI,Quick Inventory of Depressive Symptomatology ,Self-report,Categorical,Absolute EEG power - Delta,Delta,Delta,PSG,Objective,Continuous,no,37,NA,NA,NA,NA,NA,0.012,NA,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,45,14,14,2017,Dolsen,Clinical,USA,Adult,Prospective,2 nights,Low suicidal grp=includes passive SI so not included in this doc,84,NA,26.6,53.57,SuicgrpvsPassiveSI,SuicGrpOthergrp,yes,SuicGrp: Active SI; Other grp: Passive SI,SI,SI,Quick Inventory of Depressive Symptomatology ,Self-report,Categorical,Absolute EEG power - Alpha-delta,Alpha-Delta,Alpha-Delta,PSG,Objective,Continuous,no,37,NA,NA,NA,NA,NA,0.365,NA,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,50,5,1,2016,Ferentinos,Clinical (SA only),Greece,Adult,Retrospective,2 weeks prior to admit,,127,NA,43.8,5.8,SuicGrp,SuicGrp,yes,,SA,SA,no measure,Medical Record,Categorical,Insomnia (temporally proximal),Insomnia,Insomnia,Unknown,Self-report,Continuous,no,127,8.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,50,5,2,2016,Ferentinos,Clinical (SA only),Greece,Adult,Retrospective,2 weeks prior to admit,,127,NA,43.8,5.8,SuicGrp,SuicGrp,yes,,SA,SA,no measure,Medical Record,Categorical,Insomnia Score (> 6),Insomnia,Insomnia,Unknown,Self-report,Categorical,no,127,NA,NA,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,50,5,3,2016,Ferentinos,Clinical (SA only),Greece,Adult,Retrospective,2 weeks prior to admit,,127,NA,43.8,5.8,SuicGrp,SuicGrp,yes,,SA,SA,no measure,Medical Record,Categorical,Sleep duration (hours),Sleep duration,Sleep duration,Unknown,Self-report,Continuous,no,127,6.2,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,50,5,4,2016,Ferentinos,Clinical (SA only),Greece,Adult,Retrospective,2 weeks prior to admit,,127,NA,43.8,5.8,SuicGrp,SuicGrp,yes,,SA,SA,no measure,Medical Record,Categorical,Sleep duration (<= 5 hrs),Sleep duration,Sleep duration,Unknown,Self-report,Categorical,no,127,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,50,5,5,2016,Ferentinos,Clinical (SA only),Greece,Adult,Retrospective,2 weeks prior to admit,,127,NA,43.8,5.8,SuicGrp,SuicGrp,yes,,SA,SA,no measure,Medical Record,Categorical,Insomnia Score (> 6) AND Sleep duration (<= 5 hrs),Insomia and sleep duration,Insomia and sleep duration,Unknown,Self-report,Categorical,no,127,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,144,16,1,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI,WHO-CIDI,Interview,Categorical,Hypersomnia,Hypersomnia,Hypersomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,44,NA,5.6,46.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,144,16,2,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI,WHO-CIDI,Interview,Categorical,Insomnia,Insomnia,Insomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,404,NA,2.9,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,144,16,3,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI,WHO-CIDI,Interview,Categorical,Insomnia + Hypersomnia,Sleep disturbance,Sleep disturbance,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,184,NA,4,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,144,16,4,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI,WHO-CIDI,Interview,Categorical,No Sleep Problem,No Sleep Problem,No Sleep Problem,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,55,NA,8.3,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,144,16,5,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SP,SP,WHO-CIDI,Interview,Categorical,Hypersomnia,Hypersomnia,Hypersomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,44,NA,5.9,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,144,16,6,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SP,SP,WHO-CIDI,Interview,Categorical,Insomnia,Insomnia,Insomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,404,NA,2.2,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,144,16,7,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SP,SP,WHO-CIDI,Interview,Categorical,Insomnia + Hypersomnia,Sleep disturbance,Sleep disturbance,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,184,NA,3.5,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,144,16,8,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SP,SP,WHO-CIDI,Interview,Categorical,No Sleep Problem,No Sleep Problem,No Sleep Problem,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,55,NA,2.8,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,144,16,9,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Past year SA,WHO-CIDI,Interview,Categorical,Hypersomnia,Hypersomnia,Hypersomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,44,NA,5.4,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,144,16,10,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Past year SA,WHO-CIDI,Interview,Categorical,Insomnia,Insomnia,Insomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,404,NA,2.1,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,144,16,11,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Past year SA,WHO-CIDI,Interview,Categorical,Insomnia + Hypersomnia,Sleep disturbance,Sleep disturbance,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,184,NA,3,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,144,16,12,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Past year SA,WHO-CIDI,Interview,Categorical,No Sleep Problem,No Sleep Problem,No Sleep Problem,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,55,NA,2.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,144,16,13,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,WHO-CIDI,Interview,Categorical,Hypersomnia,Hypersomnia,Hypersomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,44,NA,11.1,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,144,16,14,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,WHO-CIDI,Interview,Categorical,Insomnia,Insomnia,Insomnia,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,404,NA,2.5,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,144,16,15,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,WHO-CIDI,Interview,Categorical,Insomnia + Hypersomnia,Sleep disturbance,Sleep disturbance,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,184,NA,5.1,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,144,16,16,2014,Soehner,Community,USA,Adult,Cross-sectional,,,687,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,WHO-CIDI,Interview,Categorical,No Sleep Problem,No Sleep Problem,No Sleep Problem,Quick Inventory of Depressive Symptoms-Self-Report ,Self-report,Categorical,no,55,NA,3.2,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,82,12,1,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Sleep disturbance,Sleep disturbance,Sleep disturbance,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,75.5,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,82,12,2,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Difficulty falling asleep,Difficulty initiating sleep,Insomnia,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,82,12,3,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Interrupted Sleep,Sleep disturbance,Sleep disturbance,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,30.6,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,82,12,4,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Early morning awakening,Early morning awakening,Insomnia,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,82,12,5,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Lack of deep sleep,Lack of deep sleep,Lack of deep sleep,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,40.8,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,82,12,6,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Day-night reversal,Day-night reversal,Day-night reversal,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,82,12,7,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Other sleep problem,Sleep disturbance,Sleep disturbance,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,82,12,8,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Frequency of SP: None,Frequency of sleep problems,Frequency of sleep problems,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,82,12,9,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Frequency of SP: 1-2 days,Frequency of sleep problems,Frequency of sleep problems,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,82,12,10,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Frequency of SP: 3-6 days,Frequency of sleep problems,Frequency of sleep problems,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,82,12,11,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Frequency of SP: Everyday,Frequency of sleep problems,Frequency of sleep problems,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,82,12,12,2014,Kodaka,Clinical,Japan,Adult,Retrospective,,,194,NA,NA,NA,CaseCtrl,CaseCtrl,no,,SD,Suicide Death,no measure,Medical Record,Categorical,Frequency of SP: Unknown,Frequency of sleep problems,Frequency of sleep problems,no measure,Informant Report for SD; Interview for Ctrl,Categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
